Fine-tuning on CWRU were conducted using a ResNet18 with k-fold cross-validation, with only 
layer4 used for fine-tuning in cross-validation to address similarity bias in severity levels.

epochs pretrain: 30
epochs finetune: 70
learning_rate_pretrain: 0.005
learning_rate_finetune: 0.0005
 
{'007': 0, '014': 1, '021': 2, '028': 3}

Fold 1
Fold 1, Epoch 1/70, Train Loss: 1.1500
Fold 1, Epoch 2/70, Train Loss: 0.0413
Fold 1, Epoch 3/70, Train Loss: 0.0777
Fold 1, Epoch 4/70, Train Loss: 0.0280
Fold 1, Epoch 5/70, Train Loss: 0.0384
Fold 1, Epoch 6/70, Train Loss: 0.0570
Fold 1, Epoch 7/70, Train Loss: 0.0740
Fold 1, Epoch 8/70, Train Loss: 0.0923
Fold 1, Epoch 9/70, Train Loss: 0.0203
Fold 1, Epoch 10/70, Train Loss: 0.0216
Fold 1, Epoch 11/70, Train Loss: 0.0005
Fold 1, Epoch 12/70, Train Loss: 0.0061
Fold 1, Epoch 13/70, Train Loss: 0.0256
Fold 1, Epoch 14/70, Train Loss: 0.0178
Fold 1, Epoch 15/70, Train Loss: 0.0162
Fold 1, Epoch 16/70, Train Loss: 0.0197
Fold 1, Epoch 17/70, Train Loss: 0.0010
Fold 1, Epoch 18/70, Train Loss: 0.0012
Fold 1, Epoch 19/70, Train Loss: 0.0004
Fold 1, Epoch 20/70, Train Loss: 0.0090
Fold 1, Epoch 21/70, Train Loss: 0.0682
Fold 1, Epoch 22/70, Train Loss: 0.0241
Fold 1, Epoch 23/70, Train Loss: 0.0143
Fold 1, Epoch 24/70, Train Loss: 0.0008
Fold 1, Epoch 25/70, Train Loss: 0.0185
Fold 1, Epoch 26/70, Train Loss: 0.0054
Fold 1, Epoch 27/70, Train Loss: 0.0002
Fold 1, Epoch 28/70, Train Loss: 0.0018
Fold 1, Epoch 29/70, Train Loss: 0.0020
Fold 1, Epoch 30/70, Train Loss: 0.0009
Fold 1, Epoch 31/70, Train Loss: 0.0001
Fold 1, Epoch 32/70, Train Loss: 0.0003
Fold 1, Epoch 33/70, Train Loss: 0.0003
Fold 1, Epoch 34/70, Train Loss: 0.0001
Fold 1, Epoch 35/70, Train Loss: 0.0002
Fold 1, Epoch 36/70, Train Loss: 0.0001
Fold 1, Epoch 37/70, Train Loss: 0.0001
Fold 1, Epoch 38/70, Train Loss: 0.0001
Fold 1, Epoch 39/70, Train Loss: 0.0001
Fold 1, Epoch 40/70, Train Loss: 0.0002
Fold 1, Epoch 41/70, Train Loss: 0.0001
Fold 1, Epoch 42/70, Train Loss: 0.0001
Fold 1, Epoch 43/70, Train Loss: 0.0001
Fold 1, Epoch 44/70, Train Loss: 0.0001
Fold 1, Epoch 45/70, Train Loss: 0.0001
Fold 1, Epoch 46/70, Train Loss: 0.0000
Fold 1, Epoch 47/70, Train Loss: 0.0000
Fold 1, Epoch 48/70, Train Loss: 0.0005
Fold 1, Epoch 49/70, Train Loss: 0.0001
Fold 1, Epoch 50/70, Train Loss: 0.0000
Fold 1, Epoch 51/70, Train Loss: 0.0001
Fold 1, Epoch 52/70, Train Loss: 0.0002
Fold 1, Epoch 53/70, Train Loss: 0.0002
Fold 1, Epoch 54/70, Train Loss: 0.0001
Fold 1, Epoch 55/70, Train Loss: 0.0002
Fold 1, Epoch 56/70, Train Loss: 0.0000
Fold 1, Epoch 57/70, Train Loss: 0.0000
Fold 1, Epoch 58/70, Train Loss: 0.0003
Fold 1, Epoch 59/70, Train Loss: 0.0002
Fold 1, Epoch 60/70, Train Loss: 0.0012
Fold 1, Epoch 61/70, Train Loss: 0.0142
Fold 1, Epoch 62/70, Train Loss: 0.0143
Fold 1, Epoch 63/70, Train Loss: 0.0032
Fold 1, Epoch 64/70, Train Loss: 0.0046
Fold 1, Epoch 65/70, Train Loss: 0.0296
Fold 1, Epoch 66/70, Train Loss: 0.0005
Fold 1, Epoch 67/70, Train Loss: 0.0003
Fold 1, Epoch 68/70, Train Loss: 0.0003
Fold 1, Epoch 69/70, Train Loss: 0.0002
Fold 1, Epoch 70/70, Train Loss: 0.0008

Fold 1 Validation Loss: 5.4223, Accuracy: 39.00%
Confusion Matrix for Fold 1:
